Error,Épocas,Clase
0.44999999999999996,57800, Validation error
0.31999999999999995,57800,Test error
0.3375,58000,Train error
0.4,58000, Validation error
0.30000000000000004,58000,Test error
0.3375,58200,Train error
0.4,58200, Validation error
0.30000000000000004,58200,Test error
0.3125,58400,Train error
0.44999999999999996,58400, Validation error
0.31999999999999995,58400,Test error
0.3375,58600,Train error
0.4,58600, Validation error
0.30000000000000004,58600,Test error
0.3375,58800,Train error
0.4,58800, Validation error
0.30000000000000004,58800,Test error
0.3375,59000,Train error
0.4,59000, Validation error
0.30000000000000004,59000,Test error
0.3375,59200,Train error
0.4,59200, Validation error
0.30000000000000004,59200,Test error
0.3125,59400,Train error
0.44999999999999996,59400, Validation error
0.31999999999999995,59400,Test error
0.3375,59600,Train error
0.4,59600, Validation error
0.30000000000000004,59600,Test error
0.3375,59800,Train error
0.4,59800, Validation error
0.30000000000000004,59800,Test error
0.3375,60000,Train error
0.4,60000, Validation error
0.30000000000000004,60000,Test error
0.3375,60200,Train error
0.4,60200, Validation error
0.30000000000000004,60200,Test error
0.3375,60400,Train error
0.4,60400, Validation error
0.30000000000000004,60400,Test error
0.3375,60600,Train error
0.4,60600, Validation error
0.30000000000000004,60600,Test error
0.3125,60800,Train error
0.44999999999999996,60800, Validation error
0.31999999999999995,60800,Test error
0.3375,61000,Train error
0.4,61000, Validation error
0.30000000000000004,61000,Test error
0.3125,61200,Train error
0.44999999999999996,61200, Validation error
0.31999999999999995,61200,Test error
0.3375,61400,Train error
0.4,61400, Validation error
0.30000000000000004,61400,Test error
0.3375,61600,Train error
0.4,61600, Validation error
0.30000000000000004,61600,Test error
0.3125,61800,Train error
0.44999999999999996,61800, Validation error
0.31999999999999995,61800,Test error
0.3125,62000,Train error
0.44999999999999996,62000, Validation error
0.31999999999999995,62000,Test error
0.3375,62200,Train error
0.4,62200, Validation error
0.30000000000000004,62200,Test error
0.3125,62400,Train error
0.44999999999999996,62400, Validation error
0.31999999999999995,62400,Test error
0.3125,62600,Train error
0.44999999999999996,62600, Validation error
0.31999999999999995,62600,Test error
0.3375,62800,Train error
0.4,62800, Validation error
0.30000000000000004,62800,Test error
0.3125,63000,Train error
0.44999999999999996,63000, Validation error
0.31999999999999995,63000,Test error
0.3375,63200,Train error
0.4,63200, Validation error
0.30000000000000004,63200,Test error
0.3125,63400,Train error
0.44999999999999996,63400, Validation error
0.31999999999999995,63400,Test error
0.3125,63600,Train error
0.44999999999999996,63600, Validation error
0.31999999999999995,63600,Test error
0.3375,63800,Train error
0.4,63800, Validation error
0.30000000000000004,63800,Test error
0.3375,64000,Train error
0.4,64000, Validation error
0.30000000000000004,64000,Test error
0.3375,64200,Train error
0.4,64200, Validation error
0.30000000000000004,64200,Test error
0.3375,64400,Train error
0.4,64400, Validation error
0.30000000000000004,64400,Test error
0.3125,64600,Train error
0.44999999999999996,64600, Validation error
0.31999999999999995,64600,Test error
0.3375,64800,Train error
0.4,64800, Validation error
0.30000000000000004,64800,Test error
0.3125,65000,Train error
0.44999999999999996,65000, Validation error
0.31999999999999995,65000,Test error
0.3125,65200,Train error
0.44999999999999996,65200, Validation error
0.31999999999999995,65200,Test error
0.3375,65400,Train error
0.4,65400, Validation error
0.30000000000000004,65400,Test error
0.3125,65600,Train error
0.44999999999999996,65600, Validation error
0.31999999999999995,65600,Test error
0.3125,65800,Train error
0.44999999999999996,65800, Validation error
0.31999999999999995,65800,Test error
0.3125,66000,Train error
0.44999999999999996,66000, Validation error
0.31999999999999995,66000,Test error
0.3125,66200,Train error
0.44999999999999996,66200, Validation error
0.31999999999999995,66200,Test error
0.3375,66400,Train error
0.4,66400, Validation error
0.30000000000000004,66400,Test error
0.3125,66600,Train error
0.44999999999999996,66600, Validation error
0.31999999999999995,66600,Test error
0.3125,66800,Train error
0.44999999999999996,66800, Validation error
0.31999999999999995,66800,Test error
0.3375,67000,Train error
0.4,67000, Validation error
0.30000000000000004,67000,Test error
0.3125,67200,Train error
0.44999999999999996,67200, Validation error
0.31999999999999995,67200,Test error
0.3125,67400,Train error
0.44999999999999996,67400, Validation error
0.31999999999999995,67400,Test error
0.3125,67600,Train error
